Stimulus,Standard_Time_Condition,Comp_Time_Condition,Response
default,2,1.5,shorter
default,1,1,shorter
default,2,1.5,shorter
default,1,0.5,shorter
default,1,0.5,shorter
default,1,0.5,shorter
default,2,1.5,shorter
default,2,1.5,shorter
default,2,1.5,shorter
default,1,1,longer
default,1,1,longer
default,1,1,longer
default,1,1,longer
default,1,0.5,shorter
default,2,1.5,shorter
default,1,0.5,shorter
default,2,1.5,shorter
default,2,2,shorter
default,2,1.5,longer
default,2,1.5,longer
default,1,1,shorter
default,2,1.5,shorter
default,2,1.5,longer
default,1,0.5,shorter
default,2,1.5,longer
default,2,2,shorter
default,1,1,longer
default,2,1.5,longer
default,1,1,shorter
default,1,0.5,shorter
default,2,1.5,longer
default,1,0.5,shorter
default,2,1.5,shorter
default,2,2,shorter
default,1,1,longer
default,1,1,longer
default,2,2,shorter
default,1,1,longer
default,2,1.5,shorter
default,2,1.5,shorter
default,1,1,longer
default,1,1,longer
default,2,2,shorter
default,2,1.5,shorter
default,1,1,longer
default,1,1,longer
default,2,2,shorter
default,1,1,longer
default,2,2,shorter
default,2,2,shorter
default,2,1.5,shorter
default,1,1,longer
default,2,2,shorter
default,1,0.5,shorter
default,2,1.5,shorter
default,1,1,longer
default,2,2,shorter
default,1,1,longer
default,1,1,longer
default,1,0.5,shorter
